id,date,time,competition,tournament,home_team,away_team,home_goals,away_goals,score,opponent,venue,result,played,stadium,stadium_fr,city,belgium_coach,referee,url
10479,2019-06-11,20:45,UEFA EC Qualifiers,Euro - 2020,Belgium,Scotland,3,0,3-0,Scotland,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,,https://www.rbfa.be/en/international-game/10479
10481,2019-09-06,20:45,UEFA EC Qualifiers,Euro - 2020,San Marino,Belgium,0,4,0-4,San Marino,away,W,true,Olimpico,Stade olympique de Rome,Serravalle,Roberto Martinez,,https://www.rbfa.be/en/international-game/10481
10482,2019-09-09,20:45,UEFA EC Qualifiers,Euro - 2020,Scotland,Belgium,0,4,0-4,Scotland,away,W,true,Hampden Park,Hampden Park,Glasgow,Roberto Martinez,,https://www.rbfa.be/en/international-game/10482
10485,2019-10-10,20:45,UEFA EC Qualifiers,Euro - 2020,Belgium,San Marino,9,0,9-0,San Marino,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,,https://www.rbfa.be/en/international-game/10485
10486,2019-10-13,15:00,UEFA EC Qualifiers,Euro - 2020,Kazakhstan,Belgium,0,2,0-2,Kazakhstan,away,W,true,Astana Arena,Astana Arena,Astana,Roberto Martinez,GEDIMINAS Mazeika,https://www.rbfa.be/en/international-game/10486
10487,2019-11-16,18:00,UEFA EC Qualifiers,Euro - 2020,Russia,Belgium,1,4,1-4,Russia,away,W,true,Saint Petersburg Stadium,Stade de Saint-Pétersbourg,Sint-Petersburg,Roberto Martinez,,https://www.rbfa.be/en/international-game/10487
10488,2019-11-19,20:45,UEFA EC Qualifiers,Euro - 2020,Belgium,Cyprus,6,1,6-1,Cyprus,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,,https://www.rbfa.be/en/international-game/10488
11520,2020-09-05,20:45,UEFA Nations League,,Denmark,Belgium,0,2,0-2,Denmark,away,W,true,Parken Stadium,Stade Parken,Copenhagen,Roberto Martinez,,https://www.rbfa.be/en/international-game/11520
11521,2020-09-08,20:45,UEFA Nations League,,Belgium,Iceland,5,1,5-1,Iceland,home,W,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,,https://www.rbfa.be/en/international-game/11521
11720,2020-10-08,20:45,International friendly,,Belgium,Ivory Coast,1,1,1-1,Ivory Coast,home,D,true,Koning Boudewijnstadion,Stade Roi Baudouin,Brussel,Roberto Martinez,,https://www.rbfa.be/en/international-game/11720
11522,2020-10-11,18:00,UEFA Nations League,,England,Belgium,2,1,2-1,England,away,L,true,Wembley Stadium,Stade de Wembley,Londen,Roberto Martinez,,https://www.rbfa.be/en/international-game/11522
11523,2020-10-14,20:45,UEFA Nations League,Uefa Nations League 2021,Iceland,Belgium,1,2,1-2,Iceland,away,W,true,Laugardalsvöllur,Laugardalsvöllur,Reykjavik,Roberto Martinez,,https://www.rbfa.be/en/international-game/11523
11620,2020-11-11,20:45,International friendly,,Belgium,Switzerland,2,1,2-1,Switzerland,home,W,true,Oud-Heverlee Stadion,Stade d'Oud-Heverlee,Leuven,Roberto Martinez,,https://www.rbfa.be/en/international-game/11620
11524,2020-11-15,20:45,UEFA Nations League,Uefa Nations League 2021,Belgium,England,2,0,2-0,England,home,W,true,Oud-Heverlee Stadion,Stade d'Oud-Heverlee,Leuven,Roberto Martinez,,https://www.rbfa.be/en/international-game/11524
11525,2020-11-18,20:45,UEFA Nations League,Uefa Nations League 2021,Belgium,Denmark,4,2,4-2,Denmark,home,W,true,Oud-Heverlee Stadion,Stade d'Oud-Heverlee,Leuven,Roberto Martinez,,https://www.rbfa.be/en/international-game/11525
